epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
9,1339,,,,,,,,,,,,,,,,,,,,,,,,,,0.2753084897994995,0.2536664307117462,0.23713281750679016,0.08115516602993011,0.5877850651741028,298.0897521972656,297.7200927734375,297.18804931640625,296.76495361328125,298.0897521972656,22.519168853759766,0.5835344195365906,0.21870578825473785,0.506450355052948,9.126028060913086,0.06863471120595932,0.06856197863817215,0.06991249322891235,0.06926276534795761,0.07039573788642883,0.824956476688385,0.8386549949645996,0.8201568722724915,0.8234081864356995,0.8293888568878174,0.32446250319480896,0.32178789377212524,0.3266432583332062,0.3273374140262604,0.32757896184921265,0.5778372287750244,0.2118157297372818,0.09160644561052322,0.4768514931201935,0.6113117933273315,0.5772404670715332
9,1339,3898.120849609375,3892.6650390625,3886.618408203125,3887.4189453125,3898.126953125,20.404064178466797,8.92362117767334,0.06968854367733002,0.0710432156920433,0.07093194872140884,0.0705588161945343,0.07466933876276016,0.8068154454231262,0.8219723701477051,0.8020179271697998,0.8021414279937744,0.820835292339325,0.3037136495113373,0.30642983317375183,0.3071187734603882,0.30619582533836365,0.31923261284828186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1349,,,,,,,,,,,,,,,,,,,,,,,5.403959585237317e-05,5.403959585237317e-05,1.7468646547058597e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1399,,,,,,,,,,,,,,,,,,,,,,,5.098863039165735e-05,5.098863039165735e-05,1.6482401861139806e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1449,,,,,,,,,,,,,,,,,,,,,,,4.7935802285792306e-05,4.7935802285792306e-05,1.5495555771849467e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1473,,,,,,,,,,,,,,,,,,,,,,,,,,0.29597800970077515,0.24929992854595184,0.21360644698143005,0.09871188551187515,0.59455406665802,298.0854797363281,297.8269348144531,297.3589782714844,297.70086669921875,298.0897521972656,23.820472717285156,0.5968077182769775,0.22407756745815277,0.49875229597091675,9.25936222076416,0.06941928714513779,0.07067792862653732,0.07019614428281784,0.06993035227060318,0.07231110334396362,0.834500253200531,0.846249520778656,0.8289029598236084,0.8319536447525024,0.8241336345672607,0.3316085934638977,0.33225733041763306,0.3327884078025818,0.33272573351860046,0.33609461784362793,0.5836393237113953,0.2143990695476532,0.09766852855682373,0.48499658703804016,0.6283813714981079,0.5866954326629639
10,1473,3898.10205078125,3889.846435546875,3882.336181640625,3885.73876953125,3898.1240234375,16.7592716217041,8.76777172088623,0.06912760436534882,0.07058317214250565,0.06992162019014359,0.06966055184602737,0.07418438047170639,0.7830438613891602,0.8007358312606812,0.7852983474731445,0.7803056240081787,0.8043022751808167,0.30022743344306946,0.3029237687587738,0.30188220739364624,0.30165600776672363,0.31665655970573425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1499,,,,,,,,,,,,,,,,,,,,,,,4.489273123908788e-05,4.489273123908788e-05,1.4511863355437526e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1549,,,,,,,,,,,,,,,,,,,,,,,4.187100057606585e-05,4.187100057606585e-05,1.3535069456338533e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1599,,,,,,,,,,,,,,,,,,,,,,,3.888210267177783e-05,3.888210267177783e-05,1.256888936040923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1607,,,,,,,,,,,,,,,,,,,,,,,,,,0.2972555458545685,0.25234776735305786,0.2342371642589569,0.09723053127527237,0.5983664989471436,298.0876159667969,297.474365234375,296.9166564941406,297.5662536621094,298.0897521972656,24.339221954345703,0.5954415202140808,0.22643797099590302,0.5013524889945984,9.1943359375,0.06836117058992386,0.06935952603816986,0.069930799305439,0.06918641179800034,0.06979139894247055,0.8299381732940674,0.8397676348686218,0.8243507146835327,0.826782763004303,0.835673987865448,0.3292240798473358,0.3281325101852417,0.3323002755641937,0.3313344419002533,0.33134689927101135,0.5882196426391602,0.22026774287223816,0.10809927433729172,0.4923485815525055,0.644067108631134,0.5660187602043152
11,1607,3898.09521484375,3888.17578125,3879.4912109375,3890.9697265625,3898.122314453125,15.17635726928711,8.643350601196289,0.06729177385568619,0.06867088377475739,0.06804332137107849,0.06766350567340851,0.07132838666439056,0.772215723991394,0.7912182807922363,0.7734268307685852,0.7706642150878906,0.7983283996582031,0.29760196805000305,0.30156177282333374,0.29982811212539673,0.29861247539520264,0.31365278363227844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1649,,,,,,,,,,,,,,,,,,,,,,,3.5937413485953584e-05,3.5937413485953584e-05,1.1616999699981534e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1699,,,,,,,,,,,,,,,,,,,,,,,3.304814163129777e-05,3.304814163129777e-05,1.0683023674573633e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1741,,,,,,,,,,,,,,,,,,,,,,,,,,0.2947987914085388,0.24292819201946259,0.2421398013830185,0.0975530818104744,0.5826622247695923,298.0897521972656,297.6111145019531,296.80767822265625,297.6773376464844,298.0897521972656,24.426774978637695,0.5952969193458557,0.22595582902431488,0.5024174451828003,9.239946365356445,0.06864943355321884,0.06954201310873032,0.07001639157533646,0.06913413107395172,0.07056719809770584,0.8390780091285706,0.8499743938446045,0.8372169733047485,0.8379412293434143,0.8457619547843933,0.32690733671188354,0.3283355236053467,0.32986801862716675,0.32831862568855286,0.33178436756134033,0.5838803052902222,0.21935495734214783,0.10224347561597824,0.49384501576423645,0.5589138269424438,0.6287493109703064
12,1741,3898.1025390625,3884.87353515625,3873.236572265625,3887.983154296875,3898.130615234375,13.384931564331055,8.421433448791504,0.06590393930673599,0.06674176454544067,0.0666336864233017,0.06620930880308151,0.06941968947649002,0.7521560192108154,0.7721062302589417,0.7535710334777832,0.7511610388755798,0.7778048515319824,0.2900519371032715,0.29278263449668884,0.2919464707374573,0.29118528962135315,0.30407875776290894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1749,,,,,,,,,,,,,,,,,,,,,,,3.0225277441786602e-05,3.0225277441786602e-05,9.770515134732705e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1799,,,,,,,,,,,,,,,,,,,,,,,2.747956386883743e-05,2.747956386883743e-05,8.882945508048579e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1849,,,,,,,,,,,,,,,,,,,,,,,2.482144918758422e-05,2.482144918758422e-05,8.023692430469964e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
