epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
3,1295,,,,,,,,,,,,,,,,,,,,,,,,,,0.3360343277454376,0.2057557851076126,0.23347866535186768,0.13476474583148956,0.5592675805091858,296.695556640625,296.6435546875,296.3551940917969,296.3898620605469,296.695556640625,30.756473541259766,0.5693208575248718,0.24249379336833954,0.5220826864242554,8.974859237670898,0.05441978573799133,0.05561389401555061,0.056046515703201294,0.054361991584300995,0.05831869691610336,0.8729897737503052,0.8844327926635742,0.8639625906944275,0.8726587295532227,0.8779321908950806,0.31557103991508484,0.3192295432090759,0.3225025534629822,0.31532564759254456,0.33190932869911194,0.5384320616722107,0.22750838100910187,0.15331818163394928,0.5269687175750732,0.5398885607719421,0.5833766460418701
3,1295,3896.53271484375,3894.82666015625,3892.83251953125,3891.807861328125,3896.533447265625,29.705398559570312,8.765296936035156,0.05204405635595322,0.05357293039560318,0.05301385372877121,0.052549704909324646,0.05613512545824051,0.8710042834281921,0.8807618618011475,0.8678668737411499,0.8691073060035706,0.8793320655822754,0.3009781837463379,0.30527251958847046,0.30424320697784424,0.3028123080730438,0.3170150816440582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1299,,,,,,,,,,,,,,,,,,,,,,,9.936589776771143e-05,9.936589776771143e-05,3.212066303603933e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1349,,,,,,,,,,,,,,,,,,,,,,,9.929935185937211e-05,9.929935185937211e-05,3.2099151212605648e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1399,,,,,,,,,,,,,,,,,,,,,,,9.922950994223356e-05,9.922950994223356e-05,3.207657528037089e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1449,,,,,,,,,,,,,,,,,,,,,,,9.91563792922534e-05,9.91563792922534e-05,3.2052935239335056e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1499,,,,,,,,,,,,,,,,,,,,,,,9.907995990943164e-05,9.907995990943164e-05,3.2028233363234904e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1549,,,,,,,,,,,,,,,,,,,,,,,9.900026634568349e-05,9.900026634568349e-05,3.200246965207043e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1599,,,,,,,,,,,,,,,,,,,,,,,9.891729132505134e-05,9.891729132505134e-05,3.1975648653315147e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1619,,,,,,,,,,,,,,,,,,,,,,,,,,0.3319037854671478,0.21211104094982147,0.24825617671012878,0.14281171560287476,0.5665958523750305,296.695556640625,296.695556640625,296.6398620605469,296.660888671875,296.695556640625,29.619503021240234,0.5708448886871338,0.24285286664962769,0.5250941514968872,8.971670150756836,0.05375905707478523,0.056662362068891525,0.055009085685014725,0.053660694509744644,0.059184059500694275,0.8737635612487793,0.8796464800834656,0.8672140836715698,0.8739596009254456,0.8779299855232239,0.31408724188804626,0.32344964146614075,0.31868207454681396,0.31364697217941284,0.3340235650539398,0.5529935359954834,0.2337706834077835,0.14785851538181305,0.508516252040863,0.5158235430717468,0.6376844644546509
4,1619,3896.530029296875,3895.5234375,3894.6103515625,3893.75390625,3896.53076171875,28.23212432861328,8.68996524810791,0.051255784928798676,0.052803706377744675,0.05210579186677933,0.0515601709485054,0.05575835332274437,0.8656998872756958,0.876101016998291,0.8640387058258057,0.8646963834762573,0.8769765496253967,0.2969508767127991,0.3018132150173187,0.30027344822883606,0.29791736602783203,0.3155639171600342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1649,,,,,,,,,,,,,,,,,,,,,,,9.883104939945042e-05,9.883104939945042e-05,3.1947770366969053e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1699,,,,,,,,,,,,,,,,,,,,,,,9.874154784483835e-05,9.874154784483835e-05,3.1918839340505656e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1749,,,,,,,,,,,,,,,,,,,,,,,9.864878666121513e-05,9.864878666121513e-05,3.1888853300188202e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1799,,,,,,,,,,,,,,,,,,,,,,,9.855277312453836e-05,9.855277312453836e-05,3.18578167934902e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1849,,,,,,,,,,,,,,,,,,,,,,,9.845351451076567e-05,9.845351451076567e-05,3.1825729820411652e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1899,,,,,,,,,,,,,,,,,,,,,,,9.835101809585467e-05,9.835101809585467e-05,3.1792596928426065e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1943,,,,,,,,,,,,,,,,,,,,,,,,,,0.3476904630661011,0.21586817502975464,0.2473207712173462,0.14993342757225037,0.5751683115959167,296.232666015625,296.5816955566406,296.4628601074219,296.0730285644531,296.695556640625,28.647262573242188,0.5848032236099243,0.24815425276756287,0.5242847800254822,8.938572883605957,0.05593676120042801,0.056734759360551834,0.055683888494968414,0.056041207164525986,0.05953139439225197,0.8564178347587585,0.8659430146217346,0.8574376702308655,0.8556747436523438,0.8631450533866882,0.3174269199371338,0.3207090497016907,0.3184291422367096,0.31844621896743774,0.33514541387557983,0.5721529126167297,0.24020320177078247,0.14655965566635132,0.5181975960731506,0.5357053279876709,0.6348455548286438
5,1943,3896.283935546875,3893.323974609375,3893.692626953125,3892.467529296875,3896.56396484375,27.424699783325195,8.606424331665039,0.050447091460227966,0.05187241733074188,0.05128391832113266,0.050772372633218765,0.05524376779794693,0.860665500164032,0.8676896095275879,0.858276903629303,0.8597326278686523,0.8643727898597717,0.2940210998058319,0.29885798692703247,0.297147661447525,0.2950490415096283,0.31371960043907166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1949,,,,,,,,,,,,,,,,,,,,,,,9.824529115576297e-05,9.824529115576297e-05,3.1758420391270192e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1999,,,,,,,,,,,,,,,,,,,,,,,9.813634096644819e-05,9.813634096644819e-05,3.172320248268079e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2049,,,,,,,,,,,,,,,,,,,,,,,9.802417480386794e-05,9.802417480386794e-05,3.168694320265786e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2099,,,,,,,,,,,,,,,,,,,,,,,9.790879994397983e-05,9.790879994397983e-05,3.1649647098674905e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2149,,,,,,,,,,,,,,,,,,,,,,,9.779022366274148e-05,9.779022366274148e-05,3.1611316444468684e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2199,,,,,,,,,,,,,,,,,,,,,,,9.766845323611051e-05,9.766845323611051e-05,3.1571953513775952e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2249,,,,,,,,,,,,,,,,,,,,,,,9.754349594004452e-05,9.754349594004452e-05,3.1531562854070216e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2267,,,,,,,,,,,,,,,,,,,,,,,,,,0.32344380021095276,0.2040991485118866,0.24643591046333313,0.15808570384979248,0.5795167088508606,296.5024719238281,296.5643615722656,296.1546936035156,296.160888671875,296.695556640625,27.751367568969727,0.5885663628578186,0.25036364793777466,0.52432781457901,8.9601469039917,0.054368067532777786,0.05547748878598213,0.054574280977249146,0.05419600009918213,0.057562582194805145,0.8739309906959534,0.8807003498077393,0.8731874227523804,0.8751243948936462,0.871191143989563,0.31833645701408386,0.31876489520072937,0.3172498345375061,0.31719133257865906,0.3310183882713318,0.5704697370529175,0.23301614820957184,0.13977459073066711,0.5117642879486084,0.5485460758209229,0.6193327307701111
6,2267,3894.85888671875,3890.33251953125,3885.931396484375,3889.67041015625,3896.52783203125,26.301742553710938,8.548541069030762,0.05016717314720154,0.05127764493227005,0.05101249739527702,0.050462234765291214,0.05422264337539673,0.8536297678947449,0.8628944158554077,0.8516812920570374,0.8532161116600037,0.8606324195861816,0.2934192419052124,0.29659658670425415,0.29602864384651184,0.29419469833374023,0.3101516366004944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2299,,,,,,,,,,,,,,,,,,,,,,,9.741536632645875e-05,9.741536632645875e-05,3.1490142191614723e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2349,,,,,,,,,,,,,,,,,,,,,,,9.72840643953532e-05,9.72840643953532e-05,3.1447698347619735e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2399,,,,,,,,,,,,,,,,,,,,,,,9.71496119746007e-05,9.71496119746007e-05,3.140423586955876e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2449,,,,,,,,,,,,,,,,,,,,,,,9.701200178824365e-05,9.701200178824365e-05,3.1359752483695047e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2499,,,,,,,,,,,,,,,,,,,,,,,9.687125566415489e-05,9.687125566415489e-05,3.1314255011238856e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
